PartNo,Volume,Freq,Viscosity
D65133047B,92.249,9225,960.473841449314
C23750EJ0,13.99684608,3473,928.302863086058
D65239060H,73.31,7331,856.212590423663
9YA02122N,11.718672,2908,849.483998940798
9YA02100N,11.321856,2808,834.52296039628
DN3437160,11.26935936,2795,832.591932120604
D651437A0D,58.9028571428572,5891,767.575036874713
GJ2168885B02,5.995827266,1825,745.312341017313
9YA02100P,7.03097472,1745,658.093593639579
D65133042A,6.717312,1666,642.802025855897
997961260,5.96736,1480,605.857649999975
DN3409010A,5.894784,1462,602.162109692404
B00237160B,5.02758144,1247,556.14353919974
994540895,4.77792,1185,542.124348764939
DP0467B21A,3.9545856,983,494.314132906252
9XG013312M,5.522958,1154,491.043468243933
9YA020843,3.79443456,942,483.590064049775
9XG14343ZC,14.84550144,1842,478.070768985801
9YA020669,3.70460608,920,477.98779757943
011856241,3.70944,920,477.676253517592
9YA670603,3.673152,911,475.334051291784
9YA420803,3.4751808,863,462.937213946275
DN2439070,138.054,5335,454.056530701372
9XG099317L,13.313793024,1655,453.57289899864
9YA750603,3.257856,808,447.657039927694
9YA021104,3.24576,805,446.82522061515
D6516732XB,19.1,1910,437.035467668243
D65167320A,19.065,1907,436.749371050531
DK1239080,18.7125,1873,432.98402240805
DK4962361D,2.86581187037037,722,426.49442537249
D35042239,2.90304,720,422.577127364258
D37437790A,154.74,5158,414.64844547319
D65150660C,2.757888,684,411.877235523957
D65150670C,2.757888,684,411.877235523957
DP0757730C,67.04,3352,409.389789809174
DN24437A0,16.5371428571429,1656,407.22093187009
9YA420608,2.688283584,667,406.80688441322
9YB040810,2.624832,651,401.81878170804
D65133042,2.5838568,642,399.393329873686
9XG09643X0,10.114944,1255,394.604455391117
DK4957960F,61.29,3065,391.503517326433
9YA020660,2.487744,617,391.185114301137
9XG11918ZA,9.89216256,1229,390.756544633393
D65139060F,15.24,1524,390.384425918863
DK4966370A,15.0134523809524,1502,387.640948231406
DK4968YB1,2.4573696,605,385.940303454872
B10068615,2.41800048,598,384.567866260272
DN3237790,130.29,4344,380.569758399849
992822200H,2.33310336,579,379.063156032552
DL3356514,2.334528,579,378.947477199929
9YA020670,2.334528,579,378.947477199929
DR6134011B,509.16,8486,376.07623340665
S09268786,2.2920576,569,375.836973937303
DR6246310,1.929312,522,375.810811757414
9YA020857,2.2667232,563,373.946222119024
DF5042250,13.6983333333333,1370,370.157626821991
GJ6A58225A,8.54784,1060,362.55815078193
9YA191003A,2.128896,528,361.873432227873
D65163620A,1.923264,477,343.952862218897
D65162620A,1.919232,476,343.592135468138
994541025,1.89504,470,341.419771421428
DN246909X,11.5386666666667,1154,339.725381556996
ZJ3815980C,103.17,3439,338.575447032612
9XG146214K,7.3656576,914,336.775455764864
D65357540B02,104.697,3435,335.706401385029
9XG02042AF,7.22542464,897,333.703494963371
D6513438XB,99.5694545454545,3319,332.616805644663
994641040,1.782144,442,331.093666313652
B6BG18401B,1.77408,440,330.343736321705
904400825,1.757952,436,328.838745641265
DK1239040A,10.56,1067,328.34655218737
9YB041028,1.72637472,429,326.504941320499
D65145915,1.6972704,421,323.151798395563
DN3220360A,2.290848,487,321.759089327133
9XG02913X0,1.66556421818182,414,320.789134665234
L206614H5A,1.65312,410,318.883219904259
ZJ0818867,1.65312,410,318.883219904259
DJ3534170,92.054,3051,317.995427589389
9XG04176X7,0.521472,222,307.423793495346
DL3334155,9.25,925,304.138126514911
9XF003402M,5.95377852631579,739,302.864311606053
DN321006Y,36.44,1822,301.827765455731
9YA110807,1.403724672,349,294.567250039481
9YB041208,1.407168,349,294.206627529938
D35045919A,1.39472256,346,292.976094857357
9YA500603,1.395072,346,292.939399984864
DF7445911,1.37545632,342,291.610195783159
9XG15119X3,5.52384,685,291.454004103455
DK49675DY,1.3708296,340,290.393693350582
9XG042957L,1.89132384,396,287.946787400707
DN3266120B,205.19,4104,286.503054425151
994501040,1.33056,330,286.086067635665
H26050841,1.302336,323,283.03555780878
D4363719X,7.92,792,281.424945589406
994790625,1.245888,309,276.833713196035
9XG147254K,4.9249536,611,275.321507384291
DK5150YF1A,1.2195456,303,274.374411879352
DN2069532,0.0756,75,272.772362794991
D6524608XA,7.32,732,270.554985169374
9XG10267X0,4.68401105454545,581,268.452329373409
DN3213382A,64.26,2142,267.207784317748
B00143694A,1.1527488,286,266.378208464503
B00156170C,1.153152,286,266.331634776156
994541090,1.141056,283,264.931108146046
ZJ2113390,247.62,4127,262.265768512273
D6516679YA,61.83,2061,262.106848441623
ZJ1413460,61.83,2061,262.106848441623
DN3409010,6.75,675,259.807621135332
9YA021059A,1.08864,270,258.774584753383
D65156731,1.064448,264,255.88315785958
DN3257L30G,109.136,2671,255.675946245134
D65168424A,1.044288,259,253.448438762426
D65168454B,1.044288,259,253.448438762426
DN3257720B,57.355,1912,252.465620180654
DN3257L90G,106.196,2597,252.010055629055
D65157520B,6.35,635,251.992063367083
D65157510B,6.33,633,251.594912508183
DN5557510,6.31,631,251.197133741609
DN0366YR1,0.46368,171,251.123253002899
9YA110619,1.020096,253,250.49554062501
DG9969452,6.17333333333333,618,248.730252805941
DG9969453,6.17333333333333,618,248.730252805941
DF7169532B,0.999936,248,248.007936380948
9YB041026,0.9957024,247,247.532470474808
9YB041203,0.983808,244,245.999741902046
9YA020659,0.979776,243,245.495126515491
ZJ3918861B,5.99,599,244.744765010408
DN0357KN0,52.95,1765,242.555835496352
994640616,0.955584,237,242.445379219242
DK49675DYA,0.955584,237,242.445379219242
D65142631C,5.7164,572,239.240512187237
ZJ2140080,5.68,568,238.32750575626
9XG039577L,3.6675072,455,237.588769947158
TC4042239,5.5965,560,236.717177003868
GJ6E56802,0.878976,218,232.524106959817
DF8743481,5.367875,537,231.778468396687
DK5266151,1.1850944,252,231.48564676307
DN2443621,5.317875,532,230.697330915225
DK5161695A,0.862824282352941,214,230.384148288028
DK4961158B,5.235,524,229.019754072639
DK4961157A,5.22833333333333,523,228.728380354512
9XF20214ZD,3.3057024,411,226.052828390683
GJ6A5114Y,0.830592,206,226.03378031009
DN3215384A,182.484,3042,225.188814048957
DN325697Y,5.07,507,225.166604983954
9XF002437L,3.24018532173913,403,223.882486157651
H3816888500,0.536107,163,222.618814379329
CD8466290D02,4.92,492,221.810730128188
DN3266120C,121.4,2428,220.363336333429
994641020,0.78624,195,219.916109546562
D6516851XC02,4.76,476,218.174242292714
D6516851YC02,4.76,476,218.174242292714
DP0446086,4.60983333333333,462,215.178741713549
9XG15402X0,2.959488,368,213.914156772555
994790616,0.741831552,184,213.631442258282
9YA42A815,0.737856,183,213.042025811587
DK5267C11,2.991744,368,212.757855563972
9XG00087X0,0.73253376,182,212.646170332393
DJ3543825A,0.733824,182,212.459146399699
DN2067791,4.46,446,211.187120819429
DN2067792,4.46,446,211.187120819429
BN8V56840B,4.42,442,210.237960416286
G03168866B,0.801569664,188,209.984487652883
ZJ3918861A,4.4,440,209.76176963403
9YB040608,0.705218976,175,208.38960612484
D65157529A,4.316325,432,207.934560113606
D65132980A02,344.7,3830,206.289979290211
DK5142YA3D,38.005,1267,205.52101989769
D65232980C02,0.6781824,169,205.217053231493
DN3213425,4.16,416,203.960780543711
B45532099B,0.668960116363636,166,202.958841462758
9YA020667,0.669312,166,202.905482726897
DK5166YL2,0.5231232,144,199.095067917685
DF7169531A75,0.637056,158,197.955823194237
DK5068YB1,0.62053824,155,196.764806758043
DN3215186A,136.8,2280,194.935886896179
DK5167C93A,0.616896,153,194.798430618495
9XG093322M,3.64956666666667,371,194.201803584087
DK5157K30,33.93,1131,194.164878389476
9XG150652M,2.45952,304,193.842233131233
9YA770501,0.608832,151,193.521050083439
D35441673,3.70905,371,192.638268350911
9XG12993X3,2.282112,290,191.968300720945
D53146550,3.68,368,191.833260932509
DG804371Y,521.874,4349,190.373536338756
9YB160610,0.572544,142,187.665271076601
9XG14273ZA,2.274048,282,187.003310385774
