ShippingDay,TotalLines,UniqueSKUs,TotalQty,DayOfWeek,IsWeekend,IsWorkingDay,ManHours,LinesPerManHour,YearMonth,MonthLabel
2011-09-01,1372,354,268150,Thursday,FALSE,TRUE,640,2.14375,201109,Sep 11
2011-09-02,736,304,154117,Friday,FALSE,TRUE,640,1.15,201109,Sep 11
2011-09-03,1712,405,305672,Saturday,TRUE,TRUE,640,2.675,201109,Sep 11
2011-09-05,1557,410,323972,Monday,FALSE,TRUE,640,2.4328125,201109,Sep 11
2011-09-06,1627,414,297429,Tuesday,FALSE,TRUE,640,2.5421875,201109,Sep 11
2011-09-07,669,296,117595,Wednesday,FALSE,TRUE,640,1.0453125,201109,Sep 11
2011-09-08,1596,389,310392,Thursday,FALSE,TRUE,640,2.49375,201109,Sep 11
2011-09-09,1296,390,251258,Friday,FALSE,TRUE,640,2.025,201109,Sep 11
2011-09-10,1572,401,313449,Saturday,TRUE,TRUE,640,2.45625,201109,Sep 11
2011-09-11,11,5,844,Sunday,TRUE,FALSE,0,,201109,Sep 11
2011-09-12,1417,381,291703,Monday,FALSE,TRUE,640,2.2140625,201109,Sep 11
2011-09-13,1550,395,314209,Tuesday,FALSE,TRUE,640,2.421875,201109,Sep 11
2011-09-14,637,286,113948,Wednesday,FALSE,TRUE,640,0.9953125,201109,Sep 11
2011-09-15,1181,374,251935,Thursday,FALSE,TRUE,640,1.8453125,201109,Sep 11
2011-09-16,1479,389,293342,Friday,FALSE,TRUE,640,2.3109375,201109,Sep 11
2011-09-17,1637,392,333087,Saturday,TRUE,TRUE,640,2.5578125,201109,Sep 11
2011-09-19,1466,392,294553,Monday,FALSE,TRUE,640,2.290625,201109,Sep 11
2011-09-20,1526,390,293146,Tuesday,FALSE,TRUE,640,2.384375,201109,Sep 11
2011-09-21,550,262,109798,Wednesday,FALSE,TRUE,640,0.859375,201109,Sep 11
2011-09-22,1215,356,265089,Thursday,FALSE,TRUE,640,1.8984375,201109,Sep 11
2011-09-23,1511,393,303562,Friday,FALSE,TRUE,640,2.3609375,201109,Sep 11
2011-09-24,1371,381,295526,Saturday,TRUE,TRUE,640,2.1421875,201109,Sep 11
2011-09-26,1588,391,299593,Monday,FALSE,TRUE,640,2.48125,201109,Sep 11
2011-09-27,2267,437,435053,Tuesday,FALSE,TRUE,640,3.5421875,201109,Sep 11
2011-09-28,1371,400,287591,Wednesday,FALSE,TRUE,640,2.1421875,201109,Sep 11
2011-09-29,1399,379,268827,Thursday,FALSE,TRUE,640,2.1859375,201109,Sep 11
2011-09-30,786,304,130217,Friday,FALSE,TRUE,640,1.228125,201109,Sep 11
2011-10-03,561,270,98748,Monday,FALSE,TRUE,640,0.8765625,201110,Oct 11
2011-10-04,688,300,134005,Tuesday,FALSE,TRUE,640,1.075,201110,Oct 11
2011-10-05,1359,398,299197,Wednesday,FALSE,TRUE,640,2.1234375,201110,Oct 11
2011-10-06,993,342,185118,Thursday,FALSE,TRUE,640,1.5515625,201110,Oct 11
2011-10-07,613,302,152814,Friday,FALSE,TRUE,640,0.9578125,201110,Oct 11
2011-10-08,1498,402,296251,Saturday,TRUE,TRUE,640,2.340625,201110,Oct 11
2011-10-10,1374,402,284739,Monday,FALSE,TRUE,640,2.146875,201110,Oct 11
2011-10-11,13,3,74,Tuesday,FALSE,FALSE,0,,201110,Oct 11
2011-10-13,5,2,380,Thursday,FALSE,FALSE,0,,201110,Oct 11
2011-10-25,12,2,1510,Tuesday,FALSE,FALSE,0,,201110,Oct 11
2011-10-26,903,322,170341,Wednesday,FALSE,TRUE,640,1.4109375,201110,Oct 11
2011-11-10,197,1,23640,Thursday,FALSE,FALSE,0,,201111,Nov 11
2011-11-11,15,12,6700,Friday,FALSE,FALSE,0,,201111,Nov 11
2011-11-12,314,125,132268,Saturday,TRUE,FALSE,0,,201111,Nov 11
2011-11-14,44,11,5640,Monday,FALSE,FALSE,0,,201111,Nov 11
2011-11-15,727,174,194146,Tuesday,FALSE,TRUE,640,1.1359375,201111,Nov 11
2011-11-16,419,179,75970,Wednesday,FALSE,FALSE,0,,201111,Nov 11
2011-11-17,599,215,106369,Thursday,FALSE,TRUE,640,0.9359375,201111,Nov 11
2011-11-18,868,270,203430,Friday,FALSE,TRUE,640,1.35625,201111,Nov 11
2011-11-21,1260,303,382944,Monday,FALSE,TRUE,640,1.96875,201111,Nov 11
2011-11-22,1229,330,241988,Tuesday,FALSE,TRUE,640,1.9203125,201111,Nov 11
