YearMonth,WorkingDays,TotalLines,TotalManHours,AvgDailyLines,LinesPerManHour,MonthThai.x,MonthThai.y,Figure7_Value,Difference,DiffPercent,MonthEng
201109,26,35088,16640,1349.53846153846,2.10865384615385,ก.ย. 54,ก.ย. 54,7.51,-5.40134615384615,-71.9220526477517,Sep 11
201110,8,7989,5120,998.625,1.5603515625,ต.ค. 54,ต.ค. 54,1.89,-0.3296484375,-17.4417162698413,Oct 11
201111,11,12398,7040,1127.09090909091,1.76107954545455,พ.ย. 54,พ.ย. 54,2.9,-1.13892045454545,-39.2731191222571,Nov 11
201112,21,27726,13440,1320.28571428571,2.06294642857143,ธ.ค. 54,ธ.ค. 54,6.75,-4.68705357142857,-69.4378306878307,Dec 11
201201,21,28722,13440,1367.71428571429,2.13705357142857,ม.ค. 55,ม.ค. 55,8.24,-6.10294642857143,-74.0648838418863,Jan 12
201202,21,31100,13440,1480.95238095238,2.3139880952381,ก.พ. 55,ก.พ. 55,7.45,-5.1360119047619,-68.9397571108981,Feb 12
201203,25,37335,16000,1493.4,2.3334375,มี.ค. 55,มี.ค. 55,8.73,-6.3965625,-73.2710481099656,Mar 12
201204,16,24347,10240,1521.6875,2.37763671875,เม.ย. 55,เม.ย. 55,8.01,-5.63236328125,-70.3166452091136,Apr 12
201205,25,33250,16000,1330,2.078125,พ.ค. 55,พ.ค. 55,7.48,-5.401875,-72.2175802139038,May 12
201206,25,34069,16000,1362.76,2.1293125,มิ.ย. 55,มิ.ย. 55,8.08,-5.9506875,-73.6471225247525,Jun 12
201207,25,35167,16000,1406.68,2.1979375,ก.ค. 55,ก.ค. 55,7.95,-5.7520625,-72.3529874213837,Jul 12
201208,23,32481,14720,1412.21739130435,2.20658967391304,ส.ค. 55,ส.ค. 55,7.41,-5.20341032608696,-70.2214618905122,Aug 12
