n,TotalBenefit,MarginalBenefit
1,19746.775,19746.775
2,27192.2913323038,7445.51633230381
3,42805.2067350705,15612.9154027667
4,48984.78287352,6179.57613844946
5,54989.0332305714,6004.25035705141
6,60893.779358197,5904.74612762562
7,65069.6304640732,4175.85110587621
8,77465.3752714546,12395.7448073814
9,81103.900786005,3638.52551455042
10,84332.4944468766,3228.59366087162
11,87404.10306372,3071.60861684333
12,90232.8105449511,2828.70748123116
13,93044.8201584844,2812.0096135333
14,95477.9756988982,2433.15554041381
15,97609.9633569706,2131.98765807237
16,99603.6864555985,1993.72309862792
17,101949.375492051,2345.68903645234
18,103820.693445498,1871.31795344732
19,107537.820879832,3717.12743433418
20,109383.657714738,1845.83683490567
21,111220.382733583,1836.72501884482
22,112953.261724151,1732.87899056816
23,116243.800146143,3290.53842199223
24,117865.349300577,1621.54915443397
25,119476.262477107,1610.91317652965
26,123260.89643172,3784.63395461303
27,127018.820518589,3757.92408686865
28,128505.538751901,1486.7182333126
29,132119.374460898,3613.83570899715
30,133515.875610991,1396.50115009275
31,136334.95569593,2819.08008493859
32,137728.218362959,1393.26266702963
33,139101.81247745,1373.59411449049
34,140469.044804394,1367.23232694471
35,150507.635641996,10038.5908376015
36,160188.131182441,9680.49554044462
37,161477.557031871,1289.42584943064
38,164593.594341959,3116.03731008736
39,170771.235223177,6177.64088121828
40,171956.541431045,1185.30620786833
41,173113.675092445,1157.13366140024
42,174237.208085543,1123.53299309759
43,179723.096447377,5485.88836183422
44,182429.075513348,2705.97906597125
45,184590.599417815,2161.52390446645
46,187241.106898085,2650.50748027049
47,188304.944535652,1063.83763756635
48,189346.643269333,1041.69873368132
49,190384.380368988,1037.73709965457
50,197897.15125025,7512.77088126273
51,198893.550023222,996.398772971268
52,199882.466197768,988.916174546845
53,200744.047244132,861.581046363281
54,203059.627747968,2315.58050383642
55,203980.670117778,921.042369810195
56,217245.863964946,13265.1938471673
57,218951.675354494,1705.81138954824
58,219799.092829725,847.417475231487
59,220581.987949942,782.895120216941
60,221363.095550159,781.107600217103
61,222099.205770139,736.110219979659
62,227477.659221586,5378.45345144704
63,229243.405958841,1765.74673725507
64,234408.95268633,5165.54672748922
65,235763.216752805,1354.26406647466
66,240597.40988436,4834.19313155531
67,241231.533197931,634.123313570599
68,241864.063871502,632.530673570582
69,243116.034371674,1251.97050017267
70,244612.756483588,1496.72211191367
71,245213.460485127,600.704001538776
72,245812.618886666,599.158401538909
73,246395.408577586,582.789690920123
74,246966.828505064,571.419927477924
75,247535.113909476,568.285404412571
76,248101.907473889,566.793564412481
77,252242.108865104,4140.20139121503
78,253555.411820596,1313.30295549176
79,254147.621597705,592.209777109703
80,254434.189620093,286.568022387335
81,255374.88207543,940.692455337732
82,257668.694026283,2293.81195085263
83,258113.089752734,444.395726451214
84,258551.470513143,438.380760409316
85,258979.150233738,427.679720594664
86,259402.435340581,423.285106843105
87,260228.074773746,825.639433165081
88,260638.258937618,410.184163871803
89,265564.588598087,4926.3296604685
90,265950.603764964,386.015166876954
91,266393.579853697,442.976088733005
92,266764.745614446,371.165760749311
93,267131.679428328,366.933813881653
94,268017.708293935,886.028865607048
95,268842.477589091,824.769295156293
96,269489.288293765,646.810704673757
97,269809.547736872,320.25944310776
98,270128.70509998,319.157363107952
99,270876.374222845,747.669122864725
100,271457.445202086,581.070979241107
101,271744.21721708,286.772014993418
102,273827.055979444,2082.83876236412
103,274102.164186508,275.108207064739
104,274370.468421634,268.30423512531
105,278118.346522679,3747.8781010448
106,279907.713200804,1789.36667812511
107,281625.047021843,1717.3338210393
108,281847.029547869,221.982526025677
109,282371.835813871,524.806266002124
110,282887.992347309,516.156533437839
111,283091.895220977,203.902873668121
112,283285.376639355,193.481418378651
113,283477.927337734,192.550698378764
114,284865.35596575,1387.42862801551
115,285043.423407342,178.067441592051
116,286724.599949864,1681.17654252233
117,286884.906696605,160.306746741408
118,287041.72470608,156.818009474315
119,287197.655675554,155.930969474546
120,287579.578113887,381.922438333102
121,289043.858519426,1464.28040553839
122,289180.313642282,136.45512285619
123,289503.840648796,323.527006514021
124,289822.109321977,318.268673181126
125,290132.628964372,310.51964239456
126,290421.830583729,289.201619357336
127,290536.52770042,114.697116690688
128,291361.038127122,824.510426702676
129,291614.340144504,253.302017381182
130,291810.275466097,195.93532159389
131,292047.299820807,237.024354709371
132,292136.079666096,88.7798452888965
133,292337.757882595,201.678216499335
134,292416.735526865,78.9776442695293
135,292491.439865578,74.7043387136655
136,292668.232683567,176.792817988433
137,292840.350501555,172.117817988445
138,293002.067053463,161.716551908175
139,293158.011479017,155.944425554015
140,293216.431837219,58.4203582016053
141,293948.730396412,732.298559193441
142,293996.731843537,48.0014471249888
143,294029.492647008,32.7608034702134
144,294107.210216505,77.7175694972393
145,294180.946875747,73.7366592424223
146,294265.962238194,85.0153624470695
147,294297.806913221,31.8446750270668
148,294372.336180344,74.5292671225616
149,294440.346629713,68.0104493685649
150,294464.75146301,24.4048332980019
151,294488.450696309,23.6992332982481
152,294539.112193511,50.661497202178
153,294563.781909142,24.6697156306473
154,294570.947410275,7.16550113318954
155,294582.269299046,11.3218887711992
156,294586.429670527,4.16037148126634
157,294591.758923321,5.32925279351184
158,294592.931796455,1.17287313408451
159,294593.446109589,0.514313134015538
160,294542.601243915,-50.8448656742112
161,294526.555906107,-16.0453378075035
162,294481.876072569,-44.6798335380154
163,293857.584984937,-624.291087632417
164,293765.435832975,-92.1491519617266
165,293465.404648913,-300.03118406242
166,293352.869990657,-112.534658255056
167,293236.601999069,-116.267991588102
168,293114.014417909,-122.587581160071
169,293063.174355646,-50.8400622633053
170,293011.732853383,-51.4415022634203
171,292956.300622449,-55.432230934035
172,292797.380667036,-158.919955412683
173,292291.387343032,-505.993324003997
174,292220.867169788,-70.5201732437126
175,292149.795956545,-71.0712132432964
176,292078.173703301,-71.6222532435204
177,290939.350296034,-1138.8234072674
178,290776.586725767,-162.763570266718
179,290570.021211916,-206.565513851005
180,290354.261690882,-215.759521033789
181,290265.718269801,-88.5434210811509
182,287367.217801869,-2898.50046793185
183,287261.068218354,-106.149583515187
184,287045.889729484,-215.178488870733
185,286937.519285048,-108.37044443551
186,285229.088501438,-1708.43078360951
187,285110.084294932,-119.004206506594
188,284989.375175147,-120.709119784762
189,284868.165415362,-121.209759784688
190,284623.070603468,-245.09481189464
191,284499.197048512,-123.873554956284
192,283548.219143791,-950.97790472093
193,281552.066106821,-1996.15303697006
194,279447.918962421,-2104.14714439935
195,279157.071908678,-290.847053743084
196,278862.420284999,-294.651623678685
197,277749.351342515,-1113.0689424845
198,277597.609185141,-151.742157373519
199,277414.584886905,-183.024298235949
200,277028.527263751,-386.057623154891
201,274652.882810666,-2375.64445308427
202,272169.181520252,-2483.70129041391
203,271777.843219987,-391.338300265314
204,269172.291336512,-2605.55188347551
205,268813.870730944,-358.420605567808
206,268464.790903329,-349.079827614594
207,268283.685363167,-181.105540162476
208,266918.332130269,-1365.35323289793
209,266546.842215238,-371.489915030601
210,263730.45688505,-2816.38533018861
211,263537.868583311,-192.588301738957
212,262091.902778972,-1445.96580433811
213,261895.663817854,-196.238961118012
214,261406.13939516,-489.524422694492
215,260914.005309693,-492.134085466678
216,259420.88797793,-1493.11733176356
217,257905.268023292,-1515.61995463737
218,257699.650715289,-205.617308003595
219,257493.457522385,-206.193192903738
220,255947.741140355,-1545.71638203025
221,252795.39919662,-3152.34194373435
222,249563.730010407,-3231.66918621384
223,247918.340125882,-1645.38988452469
224,247695.698170328,-222.641955553903
225,247142.085466827,-553.612703501131
226,246842.294486037,-299.790980789345
227,245167.940064256,-1674.35442178103
228,244714.810880862,-453.129183393961
229,244487.806369903,-227.004510959494
230,244260.465858943,-227.34051095965
231,243695.321426558,-565.144432385569
232,243238.27003855,-457.051388008113
233,243009.245384546,-229.02465400417
234,242439.879578462,-569.365806083777
235,241868.642539481,-571.23703898114
236,241295.734743561,-572.907795920008
237,240832.30128259,-463.433460970613
238,240619.529021994,-212.772260596132
239,240042.634195834,-576.894826160307
240,239463.739369673,-578.894826160249
241,239229.927705651,-233.811664021807
242,238761.336697608,-468.59100804347
243,238291.917741157,-469.418956450536
244,235944.948046755,-2346.96969440242
245,234164.607666644,-1780.34038011089
246,233924.158757538,-240.448909105733
247,233588.222525801,-335.936231737607
248,232990.641939957,-597.580585844058
249,232507.888418828,-482.753521128761
250,232266.213267118,-241.675151709875
251,228638.095263221,-3628.11800389664
252,228027.132110704,-610.963152517157
253,227414.310624854,-612.82148585064
254,226800.013764679,-614.296860174189
255,226552.005359405,-248.008405274915
256,222831.769138557,-3720.23622084782
257,222579.461802805,-252.30733575148
258,222327.301826959,-252.159975846036
259,220443.479255934,-1883.82257102538
260,220189.328847538,-254.150408395683
261,219934.889479142,-254.439368395833
262,214181.597987179,-5753.29149196358
263,213660.55739621,-521.040590968623
264,212366.840843528,-1293.71655268196
265,212105.343595069,-261.497248459258
266,211843.56746661,-261.776128459052
267,211378.194376326,-465.373090283887
268,210853.40430056,-524.790075765777
269,209547.192254472,-1306.21204608853
270,207576.633330539,-1970.55892393284
271,207310.69935114,-265.933979398687
272,205988.615691234,-1322.08365990606
273,205325.363693672,-663.251997561805
274,204661.079605792,-664.28408788034
275,204392.794792597,-268.28481319471
276,203727.494560942,-665.30023165539
277,199707.201915598,-4020.2926453439
278,197679.574018961,-2027.62789663652
279,197406.508745585,-273.065273376647
280,197135.52113461,-270.98761097432
281,193079.950583559,-4055.57055105138
282,191035.698178542,-2044.2524050168
283,190760.593661995,-275.10451654761
284,186653.747954133,-4106.84570786118
285,185965.176569325,-688.571384808747
286,183197.10593841,-2768.07063091439
287,182917.034670603,-280.071267807332
288,182221.473160522,-695.561510081083
289,181661.414431338,-560.058729183511
290,181406.636379941,-254.778051397618
291,179331.830739639,-2074.80564030175
292,177246.618574362,-2085.21216527742
293,176549.860621597,-696.757952764339
294,175851.719335499,-698.141286098049
295,175152.194716068,-699.524619431264
296,174870.799550328,-281.395165739523
297,172772.501021601,-2098.29852872755
298,172225.1027706,-547.398251000734
299,171705.990601303,-519.112169297325
300,169591.63182368,-2114.35877762281
301,165327.592133884,-4264.03968979575
302,163180.379309206,-2147.21282467802
303,162462.362905083,-718.01640412322
304,160306.527971575,-2155.83493350781
305,159725.618385526,-580.909586049151
306,155396.501228365,-4329.11715716083
307,151027.294265655,-4369.20696270996
308,148834.887653398,-2192.40661225759
309,148101.535449312,-733.352204085386
310,147369.736256729,-731.79919258348
311,146636.678730812,-733.057525916491
312,146045.726882831,-590.951847981633
313,144576.707410101,-1469.01947272997
314,143855.062618463,-721.644791637344
315,143120.397646032,-734.664972431172
316,142527.582838813,-592.814807218936
317,141792.188913026,-735.393925787212
318,141495.739610717,-296.449302308931
319,139289.907076936,-2205.83253378133
320,138611.071203236,-678.835873700213
321,138314.051528901,-297.019674334326
322,138016.836974567,-297.2145543347
323,137719.427540232,-297.40943433455
324,136985.484759909,-733.94278032321
325,136250.366979586,-735.117780322908
326,134041.214958431,-2209.15202115476
327,133304.682430569,-736.532527862437
328,132568.653808098,-736.028622470767
329,130368.981556335,-2199.67225176268
330,130073.321547151,-295.660009184314
331,125669.165504327,-4404.15604282411
332,125075.501880624,-593.663623703236
333,122861.304251557,-2214.19762906632
334,120642.764434969,-2218.53981658869
335,120344.868540569,-297.895894399146
336,118126.480621614,-2218.38791895508
337,113680.079552848,-4446.40106876603
338,111448.503218248,-2231.57633460031
339,110866.788943305,-581.714274943515
340,110125.337902834,-741.451040471002
341,109529.097105112,-596.240797721926
342,109232.795995633,-296.301109478401
343,108936.333606155,-296.462389478416
344,106727.853417386,-2208.48018876849
345,105259.841840375,-1468.01157701107
346,103053.800284675,-2206.04155570053
347,98622.2332517701,-4431.56703290464
348,98324.4565517332,-297.776700036819
349,95364.9957624727,-2959.46078926054
350,90940.1900930976,-4424.80566937506
351,90343.5332572575,-596.656835840113
352,89748.6476847556,-594.885572501953
353,89017.681187776,-730.966496979585
354,86826.9009478817,-2190.78023989424
355,84628.2457079882,-2198.6552398935
356,80953.8906696127,-3674.35503837558
357,78752.1567907565,-2201.73387885616
358,74336.0408467092,-4416.11594404726
359,73599.6825076887,-736.358339020575
360,73009.1343257463,-590.548181942329
361,72713.6586347752,-295.475690971085
362,72418.0485438042,-295.610090971095
363,71687.5831996023,-730.465344201832
364,69494.0326423988,-2193.55055720352
365,67295.9231549448,-2198.10948745401
366,66562.5239015064,-733.399253438372
367,65971.1378639841,-591.386037522287
368,63766.9398113614,-2204.19805262276
369,63032.4753987518,-734.464412609537
370,62738.129515922,-294.345882829803
371,62149.0547102625,-589.074805659497
372,59969.7966149361,-2179.25809532643
373,55590.5054242834,-4379.29119065272
374,53396.4451756341,-2194.06024864932
375,51198.522427031,-2197.92274860307
376,42347.5429201613,-8850.97950686965
377,41605.2842195523,-742.258700609011
378,36413.2451545455,-5192.03906500684
379,27450.5605119897,-8962.68464255582
380,26847.5650010206,-602.995510969115
381,26099.2884697032,-748.276531317381
382,25498.4986036535,-600.789866049687
383,25197.9272706291,-300.571333024374
384,16207.4468407174,-8990.48042991172
385,3309.92481413497,-12897.5220265824
386,1018.81908523774,-2291.10572889723
387,256.0083925271,-762.81069271064
388,-357.732154040255,-613.740546567355
389,-1114.76128234163,-757.029128301373
390,-3389.99866724559,-2275.23738490396
391,-12472.7633429058,-9082.76467566025
392,-13233.441143724,-760.677800818128
393,-13771.3024470733,-537.861303349342
394,-14380.6674020247,-609.364954951354
395,-14990.4624369761,-609.795034951394
396,-15745.8753030966,-755.412866120585
397,-18000.7827529232,-2254.90744982658
398,-27059.1477134497,-9058.3649605265
399,-27670.039463865,-610.891750415245
400,-29931.8714806148,-2261.83201674988
401,-32187.3164703502,-2255.44498973534
402,-34448.3614600857,-2261.04498973551
403,-34854.6426674574,-406.281207371663
404,-39379.1644556936,-4524.52178823626
405,-41649.750349812,-2270.5858941184
406,-46203.42350592,-4553.67315610795
407,-50779.2466620277,-4575.82315610774
408,-53073.3679521639,-2294.12129013619
409,-62288.0887316724,-9214.72077950852
410,-63829.5803500028,-1541.49161833042
411,-67681.0040941634,-3851.42374416054
412,-68301.9089460735,-620.904851910062
413,-68612.5075320283,-310.598585954824
414,-71696.0644021114,-3083.55687008314
415,-74009.507462591,-2313.44306047959
416,-77869.7350660463,-3860.22760345532
417,-78231.8862258333,-362.151159786939
418,-82844.7656821511,-4612.87945631784
419,-92063.7262876717,-9218.96060552059
420,-101359.881679988,-9296.15539231643
421,-106814.884082234,-5455.00240224607
422,-107596.436806364,-781.552724130233
423,-107909.724554188,-313.287747823124
424,-108223.103022011,-313.378467823408
425,-112888.555718248,-4665.45269623707
426,-113513.414445542,-624.858727293628
427,-113823.511821576,-310.097376034202
428,-114133.69655761,-310.184736034105
429,-123366.065619136,-9232.36906152572
430,-125683.592404872,-2317.52678573655
431,-130322.756263721,-4639.16385884924
432,-131096.087389621,-773.331125899538
433,-131869.943515521,-773.856125899532
434,-133414.064404637,-1544.12088911657
435,-134035.163965383,-621.099560746079
436,-136338.200353354,-2303.03638797122
437,-138645.836741326,-2307.63638797129
438,-139414.307398902,-768.470657575905
439,-140183.286389811,-768.97899090944
440,-140952.773714054,-769.487324242626
441,-141259.987030303,-307.213316249137
442,-141874.655582801,-614.6685524981
443,-142489.646695299,-614.991112498363
444,-144766.385118951,-2276.73842365184
445,-147047.523542603,-2281.13842365163
446,-147659.744735342,-612.221192739264
447,-148272.281768081,-612.537032739318
448,-152830.314570252,-4558.03280217067
449,-153591.678370614,-761.363800361869
450,-153920.425023775,-328.746653160779
451,-156196.838657408,-2276.41363363285
452,-156502.458270304,-305.619612896728
453,-158019.077316146,-1516.61904584177
454,-159537.596361988,-1518.51904584194
455,-159838.311406012,-300.715044023644
456,-164284.33203555,-4446.02062953869
457,-166504.407751619,-2220.07571606885
458,-168728.458467688,-2224.05071606863
459,-177621.905546503,-8893.44707881543
460,-186572.104892763,-8950.19934625976
461,-186873.300910964,-301.196018200601
462,-187174.567489164,-301.266578200826
463,-187921.545829367,-746.978340202331
464,-192381.302753,-4459.75692363299
465,-194607.474316919,-2226.17156391952
466,-194681.321668173,-73.8473512537021
467,-195420.024347377,-738.702679203852
468,-196152.708046131,-732.683698754525
469,-196885.800078219,-733.092032087909
470,-201286.412431073,-4400.61235285393
471,-201754.354653837,-467.942222763988
472,-208315.628982627,-6561.27432879037
473,-217818.391167632,-9502.76218500404
474,-220000.888907796,-2182.49774016486
475,-229959.172565612,-9958.28365781548
476,-234245.69964849,-4286.52708287767
477,-234822.236663664,-576.537015174807
478,-235399.008878839,-576.772215174569
479,-244003.641262052,-8604.63238321306
480,-252608.612307883,-8604.97104583113
481,-261249.941148356,-8641.32884047282
482,-265586.013091273,-4336.07194291716
483,-265876.829522315,-290.816431041516
484,-274550.98162254,-8674.1521002258
485,-275275.471961462,-724.490338921896
486,-277443.384332602,-2167.91237113992
487,-281734.182803868,-4290.79847126536
488,-283880.206314939,-2146.02351107117
489,-284453.418105284,-573.211790345027
490,-284740.104640456,-286.686535172456
491,-288939.120063153,-4199.01542269654
492,-289638.703167847,-699.583104694029
493,-289918.207295852,-279.504128005181
494,-290609.952385379,-691.745089526812
