FrequencyRank,ViscosityRank,PartNo,PartName,Prefix,Frequency,DemandVolume_m3,Viscosity,AllocatedVolume_m3,Benefit,ReplenishTrips,BoxWidth_m,BoxDepth_m,BoxHeight_m,TotalBoxesNeeded,WidthNeeded_m,Cabinet,Floor,PositionID,SubPosStart_m,SubPosEnd_m,X,ErgonomicScore,AssociatedWith,AssociationGroup
1,1,D65133047B,BRG-WHL,D65,9894,98.94,994.685880064656,0.677040242813526,17595.9589570147,146.136069532355,0.24,0.28,0.24,68,1.98,1,3,C01F3,0,1.98,0.99,100,"",0
2,56,DR6134011B,"SPRING-COIL,F",DR6,8662,519.72,379.956137819442,1.55171959890117,12300.0253041075,334.931646392836,0.56,0.48,0.24,26,1.98,2,3,C02F3,0,1.98,3.49,100,"",0
3,3,D65239060H,RUB-E/MTG;#3,D65,7874,78.74,887.355622059161,0.603985115162015,13792.4882326559,130.367451156273,0.24,0.28,0.24,61,1.98,1,2,C01F2,0,1.98,0.99,90,"",0
4,8,D651437A0D,HYDRAULIC UNIT-ABS,D65,6330,63.3,795.612971236643,0.54153980671429,10906.6662870806,116.888914194624,0.24,0.56,0.12,55,1.98,1,4,C01F4,0,1.98,0.99,90,"",0
5,35,DN2439070,RUB-E/MTG;#4,DN2,5656,169.68,434.204253011568,0.886632932410306,8441.36446756958,191.375702162028,0.24,0.56,0.24,30,1.98,3,3,C03F3,0,1.98,5.99,100,"",0
6,36,D37437790A,JACK-PANTOGRAPH,D37,5540,166.2,429.728596519555,0.877493767115514,8238.95417901946,189.403054732036,0.24,0.56,0.24,30,1.98,4,3,C04F3,0,1.98,11.49,100,"",0
7,50,DN3237790,JACK,DN3,4676,140.28,394.799527186478,0.806169585110498,6741.87920300716,174.008053132856,0.45,0.35,0.21,27,1.98,5,3,C05F3,0,1.98,13.99,100,"",0
8,89,DN3266120B,SWITCH-COMBI,DN3,4526,226.3,300.865418418269,1.02393127329231,5736.83609345631,221.010927102913,0.6,0.4,0.22,21,1.98,5,2,C05F2,0,1.98,13.99,90,"",0
9,105,ZJ2113390,INSULATOR ASSY-EXH,ZJ2,4436,266.16,271.906846793775,1.11045234238542,5276.70838088945,239.686107940704,0.48,0.56,0.24,19,1.98,6,3,C06F3,0,1.98,16.49,100,"",0
10,62,D65357540B02,"HINGE-R BACK,CTR",D65,3746,112.38,353.364778474973,0.721560987891651,5155.81493971079,155.745670685947,0.24,0.56,0.24,25,1.98,1,1,C01F1,0,1.98,0.99,60,"",0
11,2,C23750EJ0,HOOK ASSY-TOWING,C23,3742,15.087744,963.366699043203,0.264387357338037,6627.99779823572,57.0668134509523,0.24,0.14,0.12,66,1.98,7,3,C07F3,0,1.98,0.99,100,"",0
12,64,ZJ3815980C,TENSIONER-AUTO,ZJ3,3694,110.82,350.903595497871,0.716535321134472,5068.08645077242,154.660903281839,0.24,0.56,0.24,24,1.98,8,3,C08F3,0,1.98,3.49,100,"",0
