PartNo,Freq,Volume,COI,AllocatedVolume_COI,Benefit_COI
D65133047B,9894,98.94,0.000252678390944007,0.685115673581579,17621.796456237
C23750EJ0,3742,15.087744,0.000269374665954035,0.267540850535515,6638.0874616082
D65239060H,7874,78.74,0.00031750063500127,0.611189177304845,13815.5377708613
9YA02122N,3126,12.604032,0.000322456813819578,0.244530310127386,5478.84234972135
9YA02100N,3043,12.269376,0.000331252053894183,0.241262146826259,5323.17565137753
DN3437160,2998,12.087936,0.000336224149432955,0.239471605610653,5238.83699715615
GJ2168885B02,2126,6.992414,0.00038675917215428,0.182134206049769,3676.12678938881
D651437A0D,6330,63.3,0.000394944707740916,0.547999049371851,10927.3327607258
9YA02100P,1871,7.543872,0.000538749331908071,0.18917994965808,3143.84950781243
D65133042A,1666,6.717312,0.000605042016806723,0.17851540944299,2767.56872589098
997961260,1589,6.406848,0.000634361233480176,0.1743412519796,2626.76660624621
B00237160B,1468,5.918976,0.000686648501362398,0.167571917634565,2406.16993507457
DN3409010A,1462,5.894784,0.000689466484268126,0.16722911758043,2395.25380269095
994540895,1271,5.124672,0.000793076317859953,0.155923289001413,2049.00065081809
9YA020843,1119,4.511808,0.000900804289544236,0.146303007910919,1775.41812306957
DP0467B21A,1050,4.2336,0.00096,0.141720560520789,1651.90693737988
9XG013312M,1238,5.927544,0.000966882067851373,0.167693157945779,1945.7865966079
9YA020669,991,3.995712,0.00101715438950555,0.137681325700079,1546.67821837682
9XG14343ZC,1974,15.918336,0.00102127659574468,0.274806362647353,3079.11531443539
9YA670603,983,3.963456,0.00102543234994914,0.137124472758159,1532.43887991567
011856241,980,3.95136,0.00102857142857143,0.136915069012526,1527.10097414787
9YA420803,928,3.741696,0.00108620689655172,0.133233120544674,1434.74258464748
9XG099317L,1770,14.27328,0.00113898305084746,0.260219502858125,2717.23615006394
9YA021104,875,3.528,0.001152,0.129372579765854,1340.94886956898
9YA750603,871,3.511872,0.00115729047072331,0.129076532284564,1333.8849145725
