PartNo,Freq,Volume,Viscosity,AllocatedVolume_m3,Benefit
D65133047B,9894,98.939,994.690906815314,0.680019396130798,17605.5843094415
C23750EJ0,3742,15.08145408,963.567570516491,0.265496713837611,6631.92990116493
D65239060H,7874,78.74,887.355622059161,0.606645872633523,13801.0651352284
9YA02122N,3126,12.597648,880.732939004527,0.242651106792423,5473.24929699311
9YA02100N,3043,12.269376,868.741792241689,0.239468712846419,5317.46269167099
DN3437160,2998,12.08785536,862.297250170809,0.237690688871781,5233.16898099526
GJ2168885B02,2126,6.985816266,804.367807061208,0.180694994217187,3672.08773157241
D651437A0D,6330,63.2928571428572,795.657864054918,0.543894782103399,10914.4549269782
9YA02100P,1871,7.53900672,681.422896617259,0.187713110905569,3139.5641858235
D65133042A,1666,6.717312,642.802025855897,0.177188406407364,2763.34157565395
997961260,1589,6.406848,627.77163222164,0.173045277747831,2622.63829784454
B00237160B,1468,5.91865344,603.412913301058,0.166321731468529,2402.21646602568
DN3409010A,1462,5.894784,602.162109692404,0.165986011747904,2391.29390586062
994540895,1271,5.124672,561.451845311042,0.154764225599126,2045.30847001354
9YA020843,1119,4.50809856,527.027631399848,0.145155749701959,1772.14536772505
DP0467B21A,1050,4.2247296,510.845815508704,0.140519631017672,1649.0242641469
9XG013312M,1238,5.92515,508.593692726895,0.166412987256327,1941.92359487483
9YA020669,991,3.99087808,496.065957094543,0.136575177046327,1543.68337105875
9XG14343ZC,1974,15.90994944,494.89463818398,0.272691714016863,3072.83867557031
9YA670603,983,3.963456,493.760673985488,0.136105151276744,1529.19184511161
011856241,980,3.95136,493.006648591635,0.135897304144107,1523.85889791346
9YA420803,928,3.7372608,480.033198211945,0.132164325765442,1431.83930704954
9XG099317L,1770,14.241153024,469.030073420212,0.257994304455712,2712.00770842339
9YA021104,875,3.528,465.847495312456,0.128410882360505,1337.8853954805
DN2439070,5656,147.684,465.417466193617,0.830814878237399,8645.62983977882
9YA750603,871,3.511872,464.781481340237,0.128117035562661,1330.8284507314
D65167320A,2057,20.565,453.596750601872,0.310028699746043,3119.01147070357
D6516732XB,2052,20.52,452.990066116245,0.309689314094508,3110.1006757693
D65133042,815,3.2813928,449.912954691835,0.123841627954707,1232.54970147839
DK1239080,1989,19.8725,446.178388211974,0.304764091066713,2999.90740727802
DK4962361D,772,3.06436187037037,441.008820164154,0.119676138270938,1159.91818787223
9XG09643X0,1563,12.598656,440.348852612004,0.242660814454642,2347.21814177244
D35042239,775,3.1248,438.420234007626,0.120850556587962,1162.14907631903
D65150670C,766,3.088512,435.867134262448,0.120146794532071,1146.40769035554
D65150660C,764,3.080448,435.297745209101,0.119989842414732,1142.91140358122
D37437790A,5540,166.2,429.728596519555,0.881359422143169,8251.41504661303
9YA420608,744,2.998747584,429.63829061709,0.11838794920774,1108.05242880701
DN24437A0,1807,18.0471428571429,425.357333215043,0.290430197397184,2681.90979284109
DP0757730C,3609,72.18,424.794067755189,0.580825909064245,5353.93026222898
9YB040810,699,2.818368,416.36894125054,0.114772116779612,1029.656876372
B10068615,685,2.76878448,411.666944074438,0.11375804449688,1004.9113824549
9YA020660,668,2.693376,407.031452316161,0.112198237548404,975.917338429043
DK4957960F,3284,65.67,405.246843056073,0.554014396172246,4789.97761140174
D65139060F,1633,16.33,404.103947023535,0.276268032209976,2379.36104275059
9XG11918ZA,1311,10.55341056,403.558291519837,0.222092533797094,1909.22881542418
DK4966370A,1616,16.1534523809524,402.076488656709,0.274770573271517,2350.16690255673
DK4968YB1,651,2.6428416,400.44734761763,0.111140695215351,945.311354826541
9YA020857,640,2.5771872,398.663973559428,0.109751515223701,927.769710320574
9YA020670,639,2.576448,398.098157314428,0.109735774392324,925.820228052236
DN3237790,4676,140.25,394.841749477085,0.809634445850407,6753.60511847998
DL3356514,626,2.524032,394.027837224652,0.108613790482402,903.421059592482
992822200H,623,2.51051136,393.194062636648,0.108322490712007,898.355940557913
DR6246310,547,2.021712,384.704868045409,0.0972069208204688,782.029620277671
DF5042250,1476,14.7583333333333,384.209146883364,0.262637175712204,2109.10714067919
S09268786,590,2.3767296,382.703226914231,0.105396801011713,841.745483185605
DR6134011B,8662,519.72,379.956137819442,1.5585554453696,12322.060528959
GJ6A58225A,1139,9.184896,375.825810293199,0.207192801932883,1613.04717000434
9YA191003A,568,2.290176,375.330542153201,0.103459880282093,803.961726745339
D65162620A,532,2.145024,363.241578628389,0.100127556960264,742.656296260491
D65163620A,532,2.145024,363.241578628389,0.100127556960264,742.656296260491
994541025,507,2.044224,354.604071633488,0.0977466277811421,700.297515361284
DN246909X,1245,12.4486666666667,352.864470811982,0.241212028555601,1715.86779308579
ZJ3815980C,3694,110.82,350.903595497871,0.719691900098834,5078.26162477066
D65357540B02,3746,114.027,350.803504957642,0.730031149227862,5149.0794248861
9XG146214K,982,7.9140096,349.070542872999,0.192325038625602,1346.76292651061
D6513438XB,3566,106.979454545455,344.77133397422,0.707111225148884,4862.6373295885
