PartNo,Freq,TotalQty,PartName,BoxType,CubM,UnitLabelQt,ModuleSizeL,ModuleSizeV,ModuleSizeH,VolumePerPiece,Volume,Viscosity,Rank,Category
D65133047B,9225,184498,BRG-WHL,4B011,0.01,20,240,280,240,5e-04,92.249,960.473841449314,1,High
C23750EJ0,3473,86786,HOOK ASSY-TOWING,4A044,0.004032,25,240,140,120,0.00016128,13.99684608,928.302863086058,2,High
D65239060H,7331,36655,RUB-E/MTG;#3,4C024,0.01,5,240,280,240,0.002,73.31,856.212590423663,3,High
9YA02122N,2908,174385,BOLT,4A031,0.004032,60,240,140,120,6.72e-05,11.718672,849.483998940798,4,High
9YA02100N,2808,842400,BOLT,4A024,0.004032,300,240,140,120,1.344e-05,11.321856,834.52296039628,5,High
DN3437160,2795,558996,NUT-HUB,4B--,0.004032,200,240,140,120,2.016e-05,11.26935936,832.591932120604,6,High
D651437A0D,5891,41232,HYDRAULIC UNIT-ABS,4H011,0.01,7,240,560,120,0.00142857142857143,58.9028571428572,767.575036874713,7,High
GJ2168885B02,1825,911497,FASTENER,4A051,0.003289,500,230,130,110,6.578e-06,5.995827266,745.312341017313,8,High
9YA02100P,1745,523138,BOLT,4A025,0.004032,300,240,140,120,1.344e-05,7.03097472,658.093593639579,9,High
D65133042A,1666,133280,NUT-LOCK,4A046,0.004032,80,240,140,120,5.04e-05,6.717312,642.802025855897,10,High
997961260,1480,177600,BOLT,4A063,0.004032,120,240,140,120,3.36e-05,5.96736,605.857649999975,11,High
DN3409010A,1462,29240,KEY SET,4Z20,0.004032,20,240,140,120,0.0002016,5.894784,602.162109692404,12,High
B00237160B,1247,311730,NUT-HUB,4A042,0.004032,250,240,140,120,1.6128e-05,5.02758144,556.14353919974,13,High
994540895,1185,177750,BOLT-FLANGE,4A013,0.004032,150,240,140,120,2.688e-05,4.77792,542.124348764939,14,High
DP0467B21A,983,29424,BRKT,Z15,0.004032,30,240,140,120,0.0001344,3.9545856,494.314132906252,15,High
9XG013312M,1154,138420,BOLT,8AD25,0.004788,120,280,190,90,3.99e-05,5.522958,491.043468243933,16,High
9YA020843,942,235270,BOLT,4A021,0.004032,250,240,140,120,1.6128e-05,3.79443456,483.590064049775,17,High
9XG14343ZC,1842,92048,BOLT&WSHR M14X75 HF,8AJ12,0.008064,50,280,240,120,0.00016128,14.84550144,478.070768985801,18,High
9YA020669,920,826921,BOLT,4A015,0.004032,900,240,140,120,4.48e-06,3.70460608,477.98779757943,19,High
011856241,920,184000,PLUG-DRAIN,IA011,0.004032,200,240,140,120,2.016e-05,3.70944,477.676253517592,20,High
9YA670603,911,1548700,SCREW-TAPPING,4A076,0.004032,1700,240,140,120,2.37176470588235e-06,3.673152,475.334051291784,21,High
9YA420803,863,258570,SCREW,4A034,0.004032,300,240,140,120,1.344e-05,3.4751808,462.937213946275,22,High
DN2439070,5335,46018,RUB-E/MTG;#4,4Q-,0.03,10,240,560,240,0.003,138.054,454.056530701372,23,High
9XG099317L,1655,1651016,BOLT M5X16 HF PIL A,8AJ11,0.008064,1000,280,240,120,8.064e-06,13.313793024,453.57289899864,24,High
9YA750603,808,484800,BOLT,4A011,0.004032,600,240,140,120,6.72e-06,3.257856,447.657039927694,25,High
9YA021104,805,201250,BOLT,4A026,0.004032,250,240,140,120,1.6128e-05,3.24576,446.82522061515,26,High
D6516732XB,1910,38200,"ARM&BLADE SET,F,PGR",4K-R,0.01,20,480,120,240,5e-04,19.1,437.035467668243,27,High
D65167320A,1907,38130,"ARM&BLADE SET,F",4K-R,0.01,20,480,120,240,5e-04,19.065,436.749371050531,28,High
DK1239080,1873,29940,BRKT-ENG;#4,4B38--,0.01,16,240,280,240,0.000625,18.7125,432.98402240805,29,High
DK4962361D,722,38971,STRIKER-LIFTGATE,4Q-,0.003971,54,220,190,95,7.3537037037037e-05,2.86581187037037,426.49442537249,30,High
D35042239,720,86400,CLAMP-HOSE,4A045,0.004032,120,240,140,120,3.36e-05,2.90304,422.577127364258,31,High
D37437790A,5158,41264,JACK-PANTOGRAPH,4C026,0.03,8,240,560,240,0.00375,154.74,414.64844547319,32,High
D65150660C,684,19152,"MLDG-BELTLINE,R,RH",4E-R,0.004032,28,240,140,120,0.000144,2.757888,411.877235523957,33,High
D65150670C,684,19152,"MLDG-BELTLINE,R,LH",4E-R,0.004032,28,240,140,120,0.000144,2.757888,411.877235523957,34,High
DP0757730C,3352,33520,BELT-B,6Z20,0.02,10,380,300,250,0.002,67.04,409.389789809174,35,High
DN24437A0,1656,11576,HYDRAULIC UNIT-ABS,4HA02,0.01,7,240,560,120,0.00142857142857143,16.5371428571429,407.22093187009,36,High
9YA420608,667,1333474,BOLT-EARTH,4A033,0.004032,2000,240,140,120,2.016e-06,2.688283584,406.80688441322,37,High
9YB040810,651,520800,NUT-FLANGE,4A041,0.004032,800,240,140,120,5.04e-06,2.624832,401.81878170804,38,High
D65133042,642,51267,NUT-LCOK,4A046,0.004032,80,240,140,120,5.04e-05,2.5838568,399.393329873686,39,High
9XG09643X0,1255,150520,PLUG 40X.08-1.5 PNL,8AH12,0.008064,120,280,240,120,6.72e-05,10.114944,394.604455391117,40,High
DK4957960F,3065,91935,ADJUSTER-ANCHOR,4Q-,0.02,30,400,310,240,0.000666666666666667,61.29,391.503517326433,41,High
9YA020660,617,617000,BOLT,4A014,0.004032,1000,240,140,120,4.032e-06,2.487744,391.185114301137,42,High
9XG11918ZA,1229,368012,BOLT M10X25 HF PIL,8AH18,0.008064,300,280,240,120,2.688e-05,9.89216256,390.756544633393,43,High
D65139060F,1524,4572,RUB-E/MTG;#3,4B026,0.01,3,240,280,240,0.00333333333333333,15.24,390.384425918863,44,High
DK4966370A,1502,126113,SW-P/W SUB,4Z2042,0.01,84,240,280,240,0.000119047619047619,15.0134523809524,387.640948231406,45,High
DK4968YB1,605,91420,RET DR SCF PLT,4B--J,0.004032,150,240,140,120,2.688e-05,2.4573696,385.940303454872,46,High
B10068615,598,239881,CAP NUT-FLANGE,4A043,0.004032,400,240,140,120,1.008e-05,2.41800048,384.567866260272,47,High
DN3237790,4344,34744,JACK,4IF8,0.03,8,450,350,210,0.00375,130.29,380.569758399849,48,High
992822200H,579,86797,CLAMP-HOSE,4A012,0.004032,150,240,140,120,2.688e-05,2.33310336,379.063156032552,49,High
DL3356514,579,40530,BOLT-LOCK,4A074,0.004032,70,240,140,120,5.76e-05,2.334528,378.947477199929,50,High
9YA020670,579,463200,BOLT,4A016,0.004032,800,240,140,120,5.04e-06,2.334528,378.947477199929,51,High
DR6134011B,8486,42430,"SPRING-COIL,F",4I-,0.06,5,560,480,240,0.012,509.16,376.07623340665,52,High
S09268786,569,204648,PLUG-HOLE,4A075,0.004032,360,240,140,120,1.12e-05,2.2920576,375.836973937303,53,High
DR6246310,522,41760,"",4A011,0.003696,80,240,140,110,4.62e-05,1.929312,375.810811757414,54,High
9YA020857,563,337310,BOLT-EARTH,4A023,0.004032,600,240,140,120,6.72e-06,2.2667232,373.946222119024,55,High
DF5042250,1370,41095,CAP-FILLER,4B022,0.01,30,240,280,240,0.000333333333333333,13.6983333333333,370.157626821991,56,High
GJ6A58225A,1060,742000,BOLT-SETTING,4A085,0.008064,700,240,140,240,1.152e-05,8.54784,362.55815078193,57,High
9YA191003A,528,132000,BOLT-REAMER,4A032,0.004032,250,240,140,120,1.6128e-05,2.128896,361.873432227873,58,High
D65163620A,477,19080,"DAMPER-STAY,LH",4H016,0.004032,40,240,140,120,0.0001008,1.923264,343.952862218897,59,High
D65162620A,476,19040,"DAMPER-STAY,RH",4H015,0.004032,40,240,140,120,0.0001008,1.919232,343.592135468138,60,High
994541025,470,164500,BOLT,4A032,0.004032,350,240,140,120,1.152e-05,1.89504,341.419771421428,61,High
DN246909X,1154,34616,WRENCH,4H62--,0.01,30,560,240,120,0.000333333333333333,11.5386666666667,339.725381556996,62,High
ZJ3815980C,3439,41268,TENSIONER-AUTO,4C012,0.03,12,240,560,240,0.0025,103.17,338.575447032612,63,High
9XG146214K,914,365360,BOLT M10X18 5 PN TI,8AJ11,0.008064,400,280,240,120,2.016e-05,7.3656576,336.775455764864,64,High
D65357540B02,3435,34899,"HINGE-R BACK,CTR",4C015,0.03,10,240,560,240,0.003,104.697,335.706401385029,65,High
9XG02042AF,897,89601,BOLT,8AF14,0.008064,100,280,240,120,8.064e-05,7.22542464,333.703494963371,66,High
D6513438XB,3319,182544,BRG-STRUT,IC,0.03,55,560,240,230,0.000545454545454546,99.5694545454545,332.616805644663,67,High
994641040,442,132600,BOLT,4A053,0.004032,300,240,140,120,1.344e-05,1.782144,331.093666313652,68,High
B6BG18401B,440,88000,"BOLT,STARTER",4A076,0.004032,200,240,140,120,2.016e-05,1.77408,330.343736321705,69,High
904400825,436,370600,SCREW,4A015,0.004032,850,240,140,120,4.74352941176471e-06,1.757952,328.838745641265,70,High
DK1239040A,1067,28512,RUB-E/MTG;#1,4B74--,0.01,27,240,280,240,0.00037037037037037,10.56,328.34655218737,71,High
9YB041028,429,256901,NUT-FLANGE,4A054,0.004032,600,240,140,120,6.72e-06,1.72637472,326.504941320499,72,High
D65145915,421,42095,HOLDER-PIPE,4A064,0.004032,100,240,140,120,4.032e-05,1.6972704,323.151798395563,73,High
DN3220360A,487,29220,TUBE ASSY-VACUUM,IIA5,0.004704,60,240,140,140,7.84e-05,2.290848,321.759089327133,74,Medium
9XG02913X0,414,90879,PLUG 28 X 0.5-2 PNL,8AD22,0.004032,220,240,140,120,1.83272727272727e-05,1.66556421818182,320.789134665234,75,Medium
L206614H5A,410,82000,CLIP,4A015,0.004032,200,240,140,120,2.016e-05,1.65312,318.883219904259,76,Medium
ZJ0818867,410,82000,CLIP,4A016,0.004032,200,240,140,120,2.016e-05,1.65312,318.883219904259,77,Medium
DJ3534170,3051,184108,LINK-CONTROL,4C013,0.03,60,240,560,240,5e-04,92.054,317.995427589389,78,Medium
9XG04176X7,222,155200,BOLT&WSHR M6X16 HF,8AB32,0.002352,700,240,140,70,3.36e-06,0.521472,307.423793495346,79,Medium
DL3334155,925,92500,PLATE-STAB,4B014,0.01,100,240,280,240,1e-04,9.25,304.138126514911,80,Medium
9XF003402M,739,140280,BOLT,8AJ17,0.008064,190,280,240,120,4.24421052631579e-05,5.95377852631579,302.864311606053,81,Medium
DN321006Y,1822,45550,PIPE SUBASSY-GAGE,4H---,0.02,25,560,250,150,8e-04,36.44,301.827765455731,82,Medium
