Cabinet,Floor,PositionID,Row,Column,X_m,Y_m,Z_m,DistanceFromStart_m,ErgonomicScore,SKUCount,TotalFrequency,TotalBoxes,SKUs
1,1,C01F1,1,1,0.99,0.34,0.15,1.98,60,1,1907,20,D65167320A
1,2,C01F2,1,1,0.99,0.34,0.45,1.98,90,1,1910,20,D6516732XB
1,3,C01F3,1,1,0.99,0.34,0.75,1.98,100,1,3473,64,C23750EJ0
1,4,C01F4,1,1,0.99,0.34,1.05,1.98,90,1,684,33,D65150670C
1,5,C01F5,1,1,0.99,0.34,1.35,1.98,60,1,633,13,D65157510B
2,1,C02F1,1,1,2.97,0.34,0.15,0,60,1,2061,8,D6516679YA
2,2,C02F2,1,1,2.97,0.34,0.45,0,90,1,3319,6,D6513438XB
2,3,C02F3,1,1,2.97,0.34,0.75,0,100,1,5335,8,DN2439070
2,4,C02F4,1,1,2.97,0.34,1.05,0,90,1,684,33,D65150660C
2,5,C02F5,1,1,2.97,0.34,1.35,0,60,1,635,13,D65157520B
3,1,C03F1,1,1,4.95,0.34,0.15,1.98,60,1,3830,4,D65132980A02
3,2,C03F2,1,1,4.95,0.34,0.45,1.98,90,1,7331,16,D65239060H
3,3,C03F3,1,1,4.95,0.34,0.75,1.98,100,1,9225,16,D65133047B
3,4,C03F4,1,1,4.95,0.34,1.05,1.98,90,1,5891,16,D651437A0D
3,5,C03F5,1,1,4.95,0.34,1.35,1.98,60,1,3435,8,D65357540B02
4,1,C04F1,1,2,0.99,3.02,0.15,3.33,60,2,964,57,DR6246310;994641040
4,2,C04F2,1,2,0.99,3.02,0.45,3.33,90,1,1247,44,B00237160B
4,3,C04F3,1,2,0.99,3.02,0.75,3.33,100,1,8486,3,DR6134011B
4,4,C04F4,1,2,0.99,3.02,1.05,3.33,90,2,1249,63,9YB040810;B10068615
4,5,C04F5,1,2,0.99,3.02,1.35,3.33,60,2,839,52,9YB041028;L206614H5A
5,1,C05F1,1,2,2.97,3.02,0.15,2.68,60,1,507,9,DN325697Y
5,2,C05F2,1,2,2.97,3.02,0.45,2.68,90,1,1185,43,994540895
5,3,C05F3,1,2,2.97,3.02,0.75,2.68,100,1,5158,8,D37437790A
5,4,C05F4,1,2,2.97,3.02,1.05,2.68,90,1,631,13,DN5557510
5,5,C05F5,1,2,2.97,3.02,1.35,2.68,60,2,957,54,994541025;DN3220360A
6,1,C06F1,1,2,4.95,3.02,0.15,3.33,60,1,492,11,CD8466290D02
6,2,C06F2,1,2,4.95,3.02,0.45,3.33,90,1,599,13,ZJ3918861B
6,3,C06F3,1,2,4.95,3.02,0.75,3.33,100,1,3439,8,ZJ3815980C
6,4,C06F4,1,2,4.95,3.02,1.05,3.33,90,1,440,11,ZJ3918861A
6,5,C06F5,1,2,4.95,3.02,1.35,3.33,60,1,416,11,DN3213425
7,1,C07F1,2,1,0.99,3.7,0.15,3.9,60,1,983,40,DP0467B21A
7,2,C07F2,2,1,0.99,3.7,0.45,3.9,90,1,1822,12,DN321006Y
7,3,C07F3,2,1,0.99,3.7,0.75,3.9,100,1,1912,8,DN3257720B
7,4,C07F4,2,1,0.99,3.7,1.05,3.9,90,1,1462,48,DN3409010A
7,5,C07F5,2,1,0.99,3.7,1.35,3.9,60,1,675,15,DN3409010
8,1,C08F1,2,1,2.97,3.7,0.15,3.36,60,1,2280,3,DN3215186A
8,2,C08F2,2,1,2.97,3.7,0.45,3.36,90,1,2597,6,DN3257L90G
8,3,C08F3,2,1,2.97,3.7,0.75,3.36,100,1,3352,10,DP0757730C
8,4,C08F4,2,1,2.97,3.7,1.05,3.36,90,1,2428,3,DN3266120C
8,5,C08F5,2,1,2.97,3.7,1.35,3.36,60,1,2142,6,DN3213382A
9,1,C09F1,2,1,4.95,3.7,0.15,3.9,60,1,2795,64,DN3437160
9,2,C09F2,2,1,4.95,3.7,0.45,3.9,90,1,4104,3,DN3266120B
9,3,C09F3,2,1,4.95,3.7,0.75,3.9,100,1,4344,4,DN3237790
9,4,C09F4,2,1,4.95,3.7,1.05,3.9,90,1,3042,3,DN3215384A
9,5,C09F5,2,1,4.95,3.7,1.35,3.9,60,1,2671,6,DN3257L30G
