PartNo,PartName,CabinetNo,FloorNo,PositionID,X_m,Y_m,Z_m,Frequency,AllocatedVolume_m3,PositionsNeeded,BoxesPerPosition,DistanceFromIO
D65133047B,BRG-WHL,1,3,C01F3,0,0,0.75,9894,0.677040242813526,1,16,0
C23750EJ0,HOOK ASSY-TOWING,2,3,C02F3,1.98,0,0.75,3742,0.264387357338037,1,64,1.98
D65239060H,RUB-E/MTG;#3,3,3,C03F3,3.96,0,0.75,7874,0.603985115162015,1,16,3.96
9YA02122N,BOLT,4,3,C04F3,5.94,0,0.75,3126,0.241648041240146,1,64,5.94
9YA02100N,BOLT,5,3,C05F3,7.92,0,0.75,3043,0.238418399647826,1,64,7.92
DN3437160,NUT-HUB,6,3,C06F3,9.9,0,0.75,2998,0.236648963469197,1,64,9.9
GJ2168885B02,FASTENER,7,3,C07F3,11.88,0,0.75,2126,0.179987397520691,1,80,11.88
D651437A0D,HYDRAULIC UNIT-ABS,8,3,C08F3,13.86,0,0.75,6330,0.54153980671429,1,16,13.86
9YA02100P,BOLT,9,3,C09F3,15.84,0,0.75,1871,0.186950093233717,1,64,15.84
D65133042A,NUT-LOCK,10,3,C10F3,17.82,0,0.75,1666,0.176411255523329,1,64,17.82
997961260,BOLT,11,3,C11F3,19.8,0,0.75,1589,0.172286298685338,1,64,19.8
B00237160B,NUT-HUB,12,3,C12F3,21.78,0,0.75,1468,0.165596754210768,1,64,21.78
DN3409010A,KEY SET,13,3,C13F3,0,2.18,0.75,1462,0.165257994727023,1,64,2.18
994540895,BOLT-FLANGE,14,3,C14F3,1.98,2.18,0.75,1271,0.154085427492749,1,64,2.94496179941269
9YA020843,BOLT,15,3,C15F3,3.96,2.18,0.75,1119,0.14457854026684,1,64,4.52039821254721
DP0467B21A,BRKT,16,3,C16F3,5.94,2.18,0.75,1050,0.140050105998982,1,64,6.32740073015768
9XG013312M,BOLT,17,3,C17F3,7.92,2.18,0.75,1238,0.165716565467332,1,63,8.21454807034447
9YA020669,BOLT,18,3,C18F3,9.9,2.18,0.75,991,0.136058481475931,1,64,10.1371790947975
9XG14343ZC,BOLT&WSHR M14X75 HF,19,3,C19F3,11.88,2.18,0.75,1974,0.271567231152115,1,28,12.0783608159386
9YA670603,SCREW-TAPPING,20,3,C20F3,13.86,2.18,0.75,983,0.135508192137142,1,64,14.0303955753215
011856241,PLUG-DRAIN,21,3,C21F3,15.84,2.18,0.75,980,0.135301256625001,1,64,15.9893089281557
9YA420803,SCREW,22,3,C22F3,17.82,2.18,0.75,928,0.131662707135,1,64,17.9528493560215
9XG099317L,BOLT M5X16 HF PIL A,23,3,C23F3,19.8,2.18,0.75,1770,0.257152306089961,1,28,19.9196485912779
9YA021104,BOLT,24,3,C24F3,21.78,2.18,0.75,875,0.127847670394387,1,64,21.8888282007055
9YA750603,BOLT,1,2,C01F2,0,0,0.45,871,0.127555112412799,1,64,0
D65167320A,"ARM&BLADE SET,F",2,2,C02F2,1.98,0,0.45,2057,0.308706430728241,1,20,1.98
D6516732XB,"ARM&BLADE SET,F,PGR",3,2,C03F2,3.96,0,0.45,2052,0.308331012334791,1,20,3.96
D65133042,NUT-LCOK,4,2,C04F2,5.94,0,0.45,815,0.12338648623664,1,64,5.94
DK1239080,BRKT-ENG;#4,5,2,C05F2,7.92,0,0.45,1989,0.303560963197131,1,16,7.92
DK4962361D,STRIKER-LIFTGATE,6,2,C06F2,9.9,0,0.45,772,0.119175538863714,1,81,9.9
9XG09643X0,PLUG 40X.08-1.5 PNL,7,2,C07F2,11.88,0,0.45,1563,0.241648041240146,1,28,11.88
D35042239,CLAMP-HOSE,8,2,C08F2,13.86,0,0.45,775,0.120320504318783,1,64,13.86
D65150670C,"MLDG-BELTLINE,R,LH",9,2,C09F2,15.84,0,0.45,766,0.119619828973332,1,64,15.84
D65150660C,"MLDG-BELTLINE,R,RH",10,2,C10F2,17.82,0,0.45,764,0.119463565250223,1,64,17.82
DN2439070,RUB-E/MTG;#4,11,2,C11F2,19.8,0,0.45,5656,0.886632932410306,2,8,19.8
D37437790A,JACK-PANTOGRAPH,12,2,C12F2,21.78,0,0.45,5540,0.877493767115514,2,8,21.78
9YA420608,BOLT-EARTH,13,2,C13F2,0,2.18,0.45,744,0.117889536470144,1,64,2.18
DN24437A0,HYDRAULIC UNIT-ABS,14,2,C14F2,1.98,2.18,0.45,1807,0.289339420221807,1,16,2.94496179941269
DP0757730C,BELT-B,15,2,C15F2,3.96,2.18,0.45,3609,0.578278398322139,1,10,4.52039821254721
9YB040810,NUT-FLANGE,16,2,C16F2,5.94,2.18,0.45,699,0.114268724634346,1,64,6.32740073015768
B10068615,CAP NUT-FLANGE,17,2,C17F2,7.92,2.18,0.45,685,0.113118614738493,1,64,8.21454807034447
9YA020660,BOLT,18,2,C18F2,9.9,2.18,0.45,668,0.111706134474248,1,64,10.1371790947975
DK4957960F,ADJUSTER-ANCHOR,19,2,C19F2,11.88,2.18,0.45,3284,0.55162647619694,1,8,12.0783608159386
D65139060F,RUB-E/MTG;#3,20,2,C20F2,13.86,2.18,0.45,1633,0.275056316670479,1,16,14.0303955753215
9XG11918ZA,BOLT M10X25 HF PIL,21,2,C21F2,15.84,2.18,0.45,1311,0.2213120882009,1,28,15.9893089281557
DK4966370A,SW-P/W SUB,22,2,C22F2,17.82,2.18,0.45,1616,0.273620863315246,1,16,17.9528493560215
DK4968YB1,RET DR SCF PLT,23,2,C23F2,19.8,2.18,0.45,651,0.110275563739217,1,64,19.9196485912779
9YA020857,BOLT-EARTH,24,2,C24F2,21.78,2.18,0.45,640,0.109339926928685,1,64,21.8888282007055
9YA020670,BOLT,1,4,C01F4,0,0,1.05,639,0.10925447171678,1,64,0
