"CabinetNo","FloorNo","FloorID","FloorWidth_mm","FloorVolume_m3","UsedWidth_mm","RemainingWidth_mm","UsedPositionVolume_m3","UsedBoxVolume_m3","PositionUtilization_pct","VolumeUtilization_pct","NumSKUs","NumPositions","NumBoxes","Status"
1,1,"C01F1",1980,0.40392,1960,20,0.39984,0.14,98.989898989899,34.6603287779758,1,7,14,"In Use"
2,1,"C02F1",1980,0.40392,1960,20,0.39984,0.14,98.989898989899,34.6603287779758,1,7,14,"In Use"
3,1,"C03F1",1980,0.40392,1920,60,0.39168,0.258048,96.969696969697,63.8859180035651,1,8,64,"In Use"
4,1,"C04F1",1980,0.40392,1940,40,0.39576,0.23734,97.979797979798,58.7591602297485,2,7,64,"In Use"
5,1,"C05F1",1980,0.40392,1840,140,0.37536,0.176768,92.9292929292929,43.7631214101802,2,5,32,"In Use"
6,1,"C06F1",1980,0.40392,1920,60,0.39168,0.258048,96.969696969697,63.8859180035651,1,8,64,"In Use"
7,1,"C07F1",1980,0.40392,1960,20,0.39984,0.268884,98.989898989899,66.5686274509804,2,8,65,"In Use"
8,1,"C08F1",1980,0.40392,1980,0,0.40392,0.261531,100,64.7482174688057,3,8,57,"In Use"
9,1,"C09F1",1980,0.40392,1920,60,0.39168,0.2,96.969696969697,49.5147553971083,2,4,20,"In Use"
10,1,"C10F1",1980,0.40392,1900,80,0.3876,0.155739,95.959595959596,38.5568924539513,2,7,21,"In Use"
11,1,"C11F1",1980,0.40392,1840,140,0.37536,0.216768,92.9292929292929,53.6660724896019,2,5,28,"In Use"
12,1,"C12F1",1980,0.40392,1920,60,0.39168,0.212256,96.969696969697,52.5490196078431,2,4,14,"In Use"
13,1,"C13F1",1980,0.40392,1900,80,0.3876,0.2,95.959595959596,49.5147553971083,1,5,10,"In Use"
14,1,"C14F1",1980,0.40392,1880,100,0.38352,0.18,94.949494949495,44.5632798573975,2,5,10,"In Use"
15,1,"C15F1",1980,0.40392,1960,20,0.39984,0.152256,98.989898989899,37.6945929887106,2,7,16,"In Use"
16,1,"C16F1",1980,0.40392,1800,180,0.3672,0.12,90.9090909090909,29.708853238265,1,4,4,"In Use"
17,1,"C17F1",1980,0.40392,1920,60,0.39168,0.252672,96.969696969697,62.5549613784908,2,8,64,"In Use"
18,1,"C18F1",1980,0.40392,1920,60,0.39168,0.212256,96.969696969697,52.5490196078431,2,4,7,"In Use"
19,1,"C19F1",1980,0.40392,1920,60,0.39168,0.258048,96.969696969697,63.8859180035651,2,8,64,"In Use"
20,1,"C20F1",1980,0.40392,1960,20,0.39984,0.152256,98.989898989899,37.6945929887106,2,4,16,"In Use"
21,1,"C21F1",1980,0.40392,1920,60,0.39168,0.212256,96.969696969697,52.5490196078431,2,4,14,"In Use"
22,1,"C22F1",1980,0.40392,1960,20,0.39984,0.245792,98.989898989899,60.8516537928303,4,8,58,"In Use"
23,1,"C23F1",1980,0.40392,1920,60,0.39168,0.258048,96.969696969697,63.8859180035651,2,8,64,"In Use"
24,1,"C24F1",1980,0.40392,1920,60,0.39168,0.301056,96.969696969697,74.5335710041592,2,8,88,"In Use"
1,2,"C01F2",1980,0.40392,1960,20,0.39984,0.14,98.989898989899,34.6603287779758,1,7,14,"In Use"
2,2,"C02F2",1980,0.40392,1920,60,0.39168,0.258048,96.969696969697,63.8859180035651,1,8,64,"In Use"
3,2,"C03F2",1980,0.40392,1960,20,0.39984,0.14,98.989898989899,34.6603287779758,1,7,14,"In Use"
4,2,"C04F2",1980,0.40392,1920,60,0.39168,0.258048,96.969696969697,63.8859180035651,1,8,64,"In Use"
5,2,"C05F2",1980,0.40392,1920,60,0.39168,0.152256,96.969696969697,37.6945929887106,2,4,20,"In Use"
6,2,"C06F2",1980,0.40392,1920,60,0.39168,0.258048,96.969696969697,63.8859180035651,2,8,64,"In Use"
7,2,"C07F2",1980,0.40392,1920,60,0.39168,0.258048,96.969696969697,63.8859180035651,1,8,64,"In Use"
8,2,"C08F2",1980,0.40392,1920,60,0.39168,0.258048,96.969696969697,63.8859180035651,1,8,64,"In Use"
9,2,"C09F2",1980,0.40392,1920,60,0.39168,0.258048,96.969696969697,63.8859180035651,2,8,64,"In Use"
10,2,"C10F2",1980,0.40392,1940,40,0.39576,0.249275,97.979797979798,61.7139532580709,3,8,59,"In Use"
11,2,"C11F2",1980,0.40392,1920,60,0.39168,0.258048,96.969696969697,63.8859180035651,2,8,64,"In Use"
12,2,"C12F2",1980,0.40392,1920,60,0.39168,0.212256,96.969696969697,52.5490196078431,3,4,14,"In Use"
13,2,"C13F2",1980,0.40392,1920,60,0.39168,0.152256,96.969696969697,37.6945929887106,2,4,20,"In Use"
14,2,"C14F2",1980,0.40392,1920,60,0.39168,0.258048,96.969696969697,63.8859180035651,2,8,64,"In Use"
15,2,"C15F2",1980,0.40392,1960,20,0.39984,0.152256,98.989898989899,37.6945929887106,2,7,16,"In Use"
16,2,"C16F2",1980,0.40392,1920,60,0.39168,0.258048,96.969696969697,63.8859180035651,2,8,64,"In Use"
17,2,"C17F2",1980,0.40392,1800,180,0.3672,0.12,90.9090909090909,29.708853238265,1,4,4,"In Use"
18,2,"C18F2",1980,0.40392,1880,100,0.38352,0.164512,94.949494949495,40.7288571994454,2,7,26,"In Use"
19,2,"C19F2",1980,0.40392,1840,140,0.37536,0.216768,92.9292929292929,53.6660724896019,2,5,14,"In Use"
20,2,"C20F2",1980,0.40392,1960,20,0.39984,0.212256,98.989898989899,52.5490196078431,2,4,10,"In Use"
21,2,"C21F2",1980,0.40392,1960,20,0.39984,0.212256,98.989898989899,52.5490196078431,2,4,10,"In Use"
22,2,"C22F2",1980,0.40392,1960,20,0.39984,0.225792,98.989898989899,55.9001782531194,1,7,28,"In Use"
23,2,"C23F2",1980,0.40392,1920,60,0.39168,0.258048,96.969696969697,63.8859180035651,2,8,64,"In Use"
24,2,"C24F2",1980,0.40392,1960,20,0.39984,0.14,98.989898989899,34.6603287779758,1,7,14,"In Use"
1,3,"C01F3",1980,0.40392,1960,20,0.39984,0.14,98.989898989899,34.6603287779758,1,7,14,"In Use"
2,3,"C02F3",1980,0.40392,1840,140,0.37536,0.176768,92.9292929292929,43.7631214101802,2,7,32,"In Use"
3,3,"C03F3",1980,0.40392,1960,20,0.39984,0.14,98.989898989899,34.6603287779758,1,7,14,"In Use"
4,3,"C04F3",1980,0.40392,1920,60,0.39168,0.258048,96.969696969697,63.8859180035651,2,8,64,"In Use"
5,3,"C05F3",1980,0.40392,1920,60,0.39168,0.152256,96.969696969697,37.6945929887106,2,4,20,"In Use"
6,3,"C06F3",1980,0.40392,1920,60,0.39168,0.258048,96.969696969697,63.8859180035651,2,8,64,"In Use"
7,3,"C07F3",1980,0.40392,1880,100,0.38352,0.279972,94.949494949495,69.3137254901961,2,7,61,"In Use"
8,3,"C08F3",1980,0.40392,1880,100,0.38352,0.225792,94.949494949495,55.9001782531194,2,7,36,"In Use"
9,3,"C09F3",1980,0.40392,1960,20,0.39984,0.214512,98.989898989899,53.1075460487225,3,5,27,"In Use"
10,3,"C10F3",1980,0.40392,1800,180,0.3672,0.16,90.9090909090909,39.6118043176867,2,5,16,"In Use"
11,3,"C11F3",1980,0.40392,1880,100,0.38352,0.225792,94.949494949495,55.9001782531194,2,7,36,"In Use"
12,3,"C12F3",1980,0.40392,1920,60,0.39168,0.212256,96.969696969697,52.5490196078431,2,4,14,"In Use"
13,3,"C13F3",1980,0.40392,1920,60,0.39168,0.152256,96.969696969697,37.6945929887106,2,4,20,"In Use"
14,3,"C14F3",1980,0.40392,1840,140,0.37536,0.192256,92.9292929292929,47.5975440681323,2,5,16,"In Use"
15,3,"C15F3",1980,0.40392,1960,20,0.39984,0.14,98.989898989899,34.6603287779758,1,7,14,"In Use"
16,3,"C16F3",1980,0.40392,1770,210,0.36108,0.154512,89.3939393939394,38.25311942959,3,6,23,"In Use"
17,3,"C17F3",1980,0.40392,1800,180,0.3672,0.12,90.9090909090909,29.708853238265,1,4,4,"In Use"
18,3,"C18F3",1980,0.40392,1960,20,0.39984,0.14,98.989898989899,34.6603287779758,1,7,14,"In Use"
19,3,"C19F3",1980,0.40392,1920,60,0.39168,0.212256,96.969696969697,52.5490196078431,2,4,11,"In Use"
20,3,"C20F3",1980,0.40392,1960,20,0.39984,0.212256,98.989898989899,52.5490196078431,2,4,10,"In Use"
21,3,"C21F3",1980,0.40392,1920,60,0.39168,0.212256,96.969696969697,52.5490196078431,2,4,14,"In Use"
22,3,"C22F3",1980,0.40392,1960,20,0.39984,0.18,98.989898989899,44.5632798573975,2,5,10,"In Use"
23,3,"C23F3",1980,0.40392,1960,20,0.39984,0.2,98.989898989899,49.5147553971083,2,4,8,"In Use"
24,3,"C24F3",1980,0.40392,1920,60,0.39168,0.22128,96.969696969697,54.7831253713607,3,6,26,"In Use"
1,4,"C01F4",1980,0.40392,1960,20,0.39984,0.14,98.989898989899,34.6603287779758,1,7,14,"In Use"
2,4,"C02F4",1980,0.40392,1800,180,0.3672,0.189024,90.9090909090909,46.797385620915,2,7,38,"In Use"
3,4,"C03F4",1980,0.40392,1800,180,0.3672,0.189024,90.9090909090909,46.797385620915,2,7,38,"In Use"
4,4,"C04F4",1980,0.40392,1870,110,0.38148,0.261218,94.4444444444445,64.6707268766092,2,8,74,"In Use"
5,4,"C05F4",1980,0.40392,1920,60,0.39168,0.152256,96.969696969697,37.6945929887106,2,4,20,"In Use"
6,4,"C06F4",1980,0.40392,1920,60,0.39168,0.258048,96.969696969697,63.8859180035651,1,8,64,"In Use"
7,4,"C07F4",1980,0.40392,1920,60,0.39168,0.258048,96.969696969697,63.8859180035651,1,8,64,"In Use"
8,4,"C08F4",1980,0.40392,1920,60,0.39168,0.258048,96.969696969697,63.8859180035651,1,8,64,"In Use"
9,4,"C09F4",1980,0.40392,1920,60,0.39168,0.243536,96.969696969697,60.2931273519509,2,7,53,"In Use"
10,4,"C10F4",1980,0.40392,1960,20,0.39984,0.14,98.989898989899,34.6603287779758,1,7,14,"In Use"
11,4,"C11F4",1980,0.40392,1920,60,0.39168,0.258048,96.969696969697,63.8859180035651,2,8,64,"In Use"
12,4,"C12F4",1980,0.40392,1920,60,0.39168,0.212256,96.969696969697,52.5490196078431,2,4,14,"In Use"
13,4,"C13F4",1980,0.40392,1880,100,0.38352,0.16,94.949494949495,39.6118043176867,2,4,12,"In Use"
14,4,"C14F4",1980,0.40392,1920,60,0.39168,0.258048,96.969696969697,63.8859180035651,2,8,64,"In Use"
15,4,"C15F4",1980,0.40392,1960,20,0.39984,0.225792,98.989898989899,55.9001782531194,1,7,28,"In Use"
16,4,"C16F4",1980,0.40392,1920,60,0.39168,0.258048,96.969696969697,63.8859180035651,2,8,64,"In Use"
17,4,"C17F4",1980,0.40392,1890,90,0.38556,0.223536,95.4545454545455,55.34165181224,2,7,49,"In Use"
18,4,"C18F4",1980,0.40392,1760,220,0.35904,0.22128,88.8888888888889,54.7831253713607,3,6,37,"In Use"
19,4,"C19F4",1980,0.40392,1920,60,0.39168,0.258048,96.969696969697,63.8859180035651,3,8,56,"In Use"
20,4,"C20F4",1980,0.40392,1960,20,0.39984,0.192256,98.989898989899,47.5975440681323,3,4,12,"In Use"
21,4,"C21F4",1980,0.40392,1920,60,0.39168,0.216768,96.969696969697,53.6660724896019,3,5,20,"In Use"
22,4,"C22F4",1980,0.40392,1960,20,0.39984,0.14,98.989898989899,34.6603287779758,1,7,14,"In Use"
23,4,"C23F4",1980,0.40392,1960,20,0.39984,0.2,98.989898989899,49.5147553971083,2,4,8,"In Use"
24,4,"C24F4",1980,0.40392,1960,20,0.39984,0.176768,98.989898989899,43.7631214101802,2,7,20,"In Use"
1,5,"C01F5",1980,0.40392,1960,20,0.39984,0.14,98.989898989899,34.6603287779758,1,7,14,"In Use"
2,5,"C02F5",1980,0.40392,1960,20,0.39984,0.14,98.989898989899,34.6603287779758,1,7,14,"In Use"
3,5,"C03F5",1980,0.40392,1920,60,0.39168,0.258048,96.969696969697,63.8859180035651,2,8,64,"In Use"
4,5,"C04F5",1980,0.40392,1920,60,0.39168,0.152256,96.969696969697,37.6945929887106,2,4,20,"In Use"
5,5,"C05F5",1980,0.40392,1920,60,0.39168,0.258048,96.969696969697,63.8859180035651,2,8,64,"In Use"
6,5,"C06F5",1980,0.40392,1920,60,0.39168,0.258048,96.969696969697,63.8859180035651,2,8,64,"In Use"
7,5,"C07F5",1980,0.40392,1920,60,0.39168,0.225792,96.969696969697,55.9001782531194,2,7,32,"In Use"
8,5,"C08F5",1980,0.40392,1960,20,0.39984,0.225792,98.989898989899,55.9001782531194,1,7,28,"In Use"
9,5,"C09F5",1980,0.40392,1920,60,0.39168,0.2,96.969696969697,49.5147553971083,1,4,20,"In Use"
10,5,"C10F5",1980,0.40392,1780,200,0.36312,0.236241,89.8989898989899,58.4870766488414,2,7,43,"In Use"
11,5,"C11F5",1980,0.40392,1920,60,0.39168,0.212256,96.969696969697,52.5490196078431,2,4,14,"In Use"
12,5,"C12F5",1980,0.40392,1920,60,0.39168,0.212256,96.969696969697,52.5490196078431,2,4,14,"In Use"
