Skus,Part No,Part name,Box type,UnitLabel Qt,ModuleSizeL,ModuleSizeV,ModuleSizeH,Cub M,,,
38.00,"011856241","PLUG-DRAIN","IA011",200.00,240.00,140.00,120.00,4.032e-03,,,
289.00,"170861031","PLUG","4B025",600.00,240.00,280.00,240.00,0.01,,,
354.00,"853162873","RUBBER-STOP","4A016",800.00,240.00,140.00,120.00,4.032e-03,,,
115.00,"904400825","SCREW","4A015",850.00,240.00,140.00,120.00,4.032e-03,,,
79.00,"992822200H","CLAMP-HOSE","4A012",150.00,240.00,140.00,120.00,4.032e-03,,,
598.00,"994500612","BOLT","4A153",1700.00,240.00,140.00,120.00,4.032e-03,,,
466.00,"994500616","BOLT","4A013",1500.00,240.00,140.00,120.00,4.032e-03,,,
639.00,"994500820","BOLT","4A012",700.00,240.00,140.00,120.00,4.032e-03,,,
144.00,"994501040","BOLT","4A011",250.00,240.00,140.00,120.00,4.032e-03,,,
27.00,"994540895","BOLT-FLANGE","4A013",150.00,240.00,140.00,120.00,4.032e-03,,,
104.00,"994541025","BOLT","4A032",350.00,240.00,140.00,120.00,4.032e-03,,,
173.00,"994541090","BOLT","4A026",130.00,240.00,140.00,120.00,4.032e-03,,,
373.00,"994590612","BOLT","4A025",1800.00,240.00,140.00,120.00,4.032e-03,,,
195.00,"994640616","BOLT","4A023",1500.00,240.00,140.00,120.00,4.032e-03,,,
383.00,"994640625","BOLT","4A023",1100.00,240.00,140.00,120.00,4.032e-03,,,
234.00,"994641020","BOLT","4A022",450.00,240.00,140.00,120.00,4.032e-03,,,
344.00,"994641025","BOLT","4A021",400.00,240.00,140.00,120.00,4.032e-03,,,
113.00,"994641040","BOLT","4A053",300.00,240.00,140.00,120.00,4.032e-03,,,
245.00,"994790616","SCREW","IA033",1000.00,240.00,140.00,120.00,4.032e-03,,,
158.00,"994790625","BOLT","4A086",800.00,240.00,140.00,120.00,4.032e-03,,,
759.00,"9965700055","WEIGHT-BALANCE","3AA35",200.00,240.00,140.00,120.00,4.032e-03,,,
844.00,"9965700065","WEIGHT-BALANCE","3AA31",120.00,240.00,140.00,120.00,4.032e-03,,,
533.00,"997016050","BULB","4A085",600.00,240.00,140.00,120.00,4.032e-03,,,
624.00,"997350510","SCREW-TAPPING","3A112",1000.00,240.00,140.00,120.00,4.032e-03,,,
16.00,"997961260","BOLT","4A063",120.00,240.00,140.00,120.00,4.032e-03,,,
696.00,"999400501","NUT-FRANGE","4A034",4500.00,240.00,140.00,120.00,4.032e-03,,,
680.00,"9CS600516B","SCREW-TAPPING","4A031",1500.00,240.00,140.00,120.00,4.032e-03,,,
378.00,"9X701107X3","SCREW-TAPPING","8AB13",2000.00,280.00,250.00,140.00,9.8e-03,,,
367.00,"9X707612X0","NUT","8AXXX",1000.00,240.00,140.00,120.00,4.032e-03,,,
806.00,"9XF000122M","BOLT M6X14 HF8","8AXXX",2000.00,280.00,220.00,100.00,6.16e-03,,,
645.00,"9XF000232M","BOLT","8AD33",1000.00,280.00,240.00,120.00,8.064e-03,,,
283.00,"9XF000242M","BOLT","8AE42",600.00,280.00,190.00,90.00,4.788e-03,,,
328.00,"9XF000342M","BOLT","8AD45",350.00,300.00,200.00,90.00,5.4e-03,,,
463.00,"9XF001222M","BOLT","8AB33",300.00,280.00,240.00,120.00,8.064e-03,,,
497.00,"9XF001242M","BOLT","8AD65",270.00,280.00,240.00,120.00,8.064e-03,,,
295.00,"9XF001255J","BOLT","8AB23",200.00,280.00,240.00,120.00,8.064e-03,,,
543.00,"9XF002107L","BOLT","8AD44",2500.00,300.00,200.00,90.00,5.4e-03,,,
168.00,"9XF002437L","BOLT","8AE13",230.00,280.00,240.00,120.00,8.064e-03,,,
